id,shop_name,URL,rate,rocation,comment,smoking
93,コメダ珈琲店 吉祥寺ダイヤ街店,https://tabelog.com/tokyo/A1320/A132001/13156365/,3.09, 吉祥寺駅 113m / コーヒー専門店、喫茶店、洋菓子（その他）,,分煙
94,喫茶 東京鼠,https://tabelog.com/tokyo/A1319/A131904/13201458/,, 高円寺駅 281m / 喫茶店,,分煙
95,喫茶 森,https://tabelog.com/tokyo/A1329/A132902/13151983/,3.04, 昭島市 / 喫茶店,,完全禁煙
96,イージーカフェ 錦糸町店,https://tabelog.com/tokyo/A1312/A131201/13151713/,, 錦糸町駅 176m / カフェ・喫茶（その他）、カフェ、喫茶店,,
97,茶房羅良,https://tabelog.com/tokyo/A1321/A132104/13076460/,3.04, 下落合駅 453m / 喫茶店,,
98,星乃珈琲店 荻窪店,https://tabelog.com/tokyo/A1319/A131906/13178777/,3.04, 荻窪駅 112m / 喫茶店、パンケーキ,,分煙
99,薔薇窓,https://tabelog.com/tokyo/A1302/A130202/13045582/,3.26, 日本橋駅 175m / 喫茶店,,分煙
100,マロニエ,https://tabelog.com/tokyo/A1324/A132404/13088720/,3.13, 五反野駅 36m / 喫茶店、洋食、パン・サンドイッチ（その他）,,喫煙可
101,ひとは,https://tabelog.com/tokyo/A1310/A131003/13185540/,3.15, 春日駅 274m / 甘味処、喫茶店,,完全禁煙
102,喫茶室ルノアール 新大久保駅前店,https://tabelog.com/tokyo/A1304/A130404/13087020/,3.01, 新大久保駅 143m / 喫茶店,,分煙
103,シントラ,https://tabelog.com/tokyo/A1312/A131202/13171699/,3.15, 江東区 / 喫茶店,,喫煙可
104,たむろす,https://tabelog.com/tokyo/A1313/A131303/13159481/,3.07, 江東区 / 喫茶店、レストラン（その他）,,完全禁煙
105,いーぐる,https://tabelog.com/tokyo/A1309/A130902/13012176/,3.2, 四ツ谷駅 242m / 喫茶店、バー,,喫煙可
106,ルビンズコーヒー,https://tabelog.com/tokyo/A1313/A131301/13088936/,3.2, 築地駅 294m / 喫茶店,,喫煙可
107,喫茶 ほくと,https://tabelog.com/tokyo/A1304/A130401/13110497/,3.04, 都庁前駅 182m / 喫茶店,,完全禁煙
108,ウキチコーヒー,https://tabelog.com/tokyo/A1318/A131807/13220104/,3.02, 初台駅 425m / カフェ、喫茶店,,
109,雅,https://tabelog.com/tokyo/A1318/A131808/13139193/,3.04, 笹塚駅 195m / 喫茶店、カフェ、居酒屋,,喫煙可
110,喫茶 寿々,https://tabelog.com/tokyo/A1302/A130202/13149001/,3.22, 新日本橋駅 56m / 喫茶店、カレーライス、サンドイッチ,,喫煙可
111,シック カフェ,https://tabelog.com/tokyo/A1315/A131502/13075994/,3.02, 大森町駅 95m / 喫茶店、カフェ,,喫煙可
112,コーヒー 車,https://tabelog.com/tokyo/A1318/A131812/13151677/,3, 梅ケ丘駅 59m / 喫茶店,,喫煙可
113,ぼろんてい,https://tabelog.com/tokyo/A1318/A131811/13088654/,3.04, 代々木上原駅 183m / 喫茶店,,
114,こもれび,https://tabelog.com/tokyo/A1323/A132301/13087830/,3, 駒込駅 367m / 喫茶店、バー・お酒（その他）,,
115,タリーズコーヒー 東邦大学大森病院店,https://tabelog.com/tokyo/A1315/A131503/13106947/,3.01, 梅屋敷駅 439m / カフェ、喫茶店、パン・サンドイッチ（その他）,,完全禁煙
116,お休み処 芝縁,https://tabelog.com/tokyo/A1314/A131401/13037262/,3.05, 芝公園駅 423m / そば、うどん、喫茶店,,
117,松う、コーヒー店,https://tabelog.com/tokyo/A1324/A132402/13087060/,, 千住大橋駅 393m / 喫茶店,,
118,ジユン,https://tabelog.com/tokyo/A1324/A132403/13087990/,3, お花茶屋駅 688m / 喫茶店,,
